"site","sst_mean","sbt_mean","sss_mean","sbs_mean","ssc_mean","ssca_mean"
"Ale",18.4585800170898,16.4079208374023,28.8127975463867,38.3893547058105,0.213183000683784,0.00505799986422062
"Ber",9.65501689910889,7.69009399414062,32.6870956420898,35.2241401672363,0.549494028091431,0.000467000005301088
"Brd",10.2813549041748,10.2317733764648,34.0757179260254,34.7255439758301,0.756321012973785,0.0125320004299283
"Cor",12.2858953475952,10.6207103729248,34.6133232116699,35.2452239990234,0.831966996192932,0.00286999996751547
"Cro",10.9524660110474,10.9816217422485,34.0613021850586,34.6061325073242,0.525381028652191,0.0172049999237061
"Eye",10.0919036865234,8.49322414398193,34.1299057006836,34.9171524047852,0.768590986728668,0.00175900000613183
"Flo",10.3845510482788,6.82564783096313,29.3922863006592,35.1093864440918,0.447284996509552,0.000500000023748726
"Gul",10.2430601119995,8.74680042266846,27.8024063110352,34.531177520752,0.576996028423309,0.00212100008502603
"Heb",10.6725006103516,10.2718801498413,35.1754264831543,35.2648239135742,0.795202970504761,0.000928999972529709
"Hel",11.2546472549438,10.5471019744873,32.1724319458008,34.7914962768555,0.721058011054993,0.00693299993872643
"Hoo",11.9875440597534,11.5114831924438,34.447437286377,34.9418334960938,0.875515997409821,0.00505500007420778
"Idr",15.0788974761963,13.5701370239258,34.0549697875977,35.5135765075684,0.30171200633049,0.00402300013229251
"Iom",11.2389078140259,10.8956136703491,33.8690452575684,34.31005859375,0.616698980331421,0.00165400002151728
"Ios",13.0227403640747,10.7287673950195,35.0765724182129,35.3484497070312,0.281150996685028,0.00277399993501604
"Jer",13.1937437057495,12.6380596160889,34.750919342041,35.1955718994141,0.256388008594513,0.00586599996313453
"Kav",10.2394781112671,7.98994588851929,27.8586235046387,34.801326751709,0.569691002368927,0.00212100008502603
"Kil",12.061017036438,10.3837795257568,34.547737121582,35.4008827209473,0.812291026115417,0.00143099995329976
"Laz",19.601318359375,16.4404125213623,37.6021614074707,38.1236839294434,0.146348997950554,0.00390599993988872
"Loo",12.8598070144653,11.5366802215576,34.7908668518066,35.2724723815918,0.491272985935211,0.00163700000848621
"Lyn",11.7171926498413,11.008129119873,34.1849403381348,34.4326515197754,0.608829975128174,0.0105250002816319
"Lys",10.1971521377563,9.3505392074585,27.5951309204102,33.2985954284668,0.573355972766876,0.000727000006008893
"Mul",11.7707328796387,10.7679653167725,35.2139015197754,35.4279594421387,0.813364028930664,0.000601999985519797
"Oos",12.1882934570312,12.1743059158325,30.8380527496338,34.489990234375,1.54182302951813,0.0211730003356934
"Ork",9.84910774230957,9.26756477355957,35.1232566833496,35.187801361084,0.791158020496368,0.000842000008560717
"Pad",12.8273515701294,11.1965970993042,34.2747802734375,35.1882019042969,0.314184993505478,0.00221400009468198
"Pem",12.0684261322021,10.5754461288452,34.0507316589355,34.8730278015137,0.434926986694336,0.00826200004667044
"Sar",18.693229675293,13.9187383651733,37.8525733947754,38.4003295898438,0.0651450008153915,0.000103999998827931
"Sbs",12.6142263412476,12.4174776077271,33.9245834350586,34.8427581787109,0.586552023887634,0.0122450003400445
"She",9.73125457763672,9.0655517578125,35.2949905395508,35.2602500915527,0.810181021690369,0.000367000000551343
"Sin",10.1516599655151,6.97602796554565,28.2021770477295,35.0704154968262,0.839233994483948,0.00226600002497435
"Sky",19.443473815918,14.8320980072021,34.6863059997559,38.9133148193359,0.0517949983477592,8.60000000102445e-05
"Sul",10.7797393798828,9.79518604278564,35.3125801086426,35.2860717773438,0.748031973838806,0.000552000012248755
"The",19.3569259643555,15.3450489044189,34.7913703918457,38.4623107910156,0.49228098988533,0.000901999999769032
"Tor",19.5164413452148,15.1037197113037,34.0835227966309,38.8762321472168,0.206801995635033,0.000138999996124767
"Tro",8.9476432800293,7.18338012695312,33.567798614502,35.2209968566895,0.500342011451721,0.000288999988697469
"Ven",11.9984846115112,11.5511350631714,35.0019340515137,35.3562316894531,0.711951017379761,0.00228999997489154
"Vig",15.3294944763184,12.1141576766968,35.3147392272949,35.7807579040527,0.67562198638916,0.000640999991446733
